idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
643,456,-4.3284934319736,-5.76281697543767,-0.74519599142,0.999709198802746,0.0168596885066202,0.000616225985072419,-0.0172304671488069
0,456,1.504544353007077,1.5024437848696834,0.5698288519872676,-0.5534754025621083,0.0018233044947942696,-0.006963583066656639,0.8328344150131558
645,189,-0.46419055579554963,4.013931403900585,0.3828869520411544,0.7634708018600185,0.00269435178455552,0.010404627401734399,0.6457529085527316
2,458,-5.049650123630272,-1.2845680862956215,-0.39846670401823303,0.8982447267770645,-0.005318163246306688,0.0016590164017443443,-0.4394603231481329
189,270,-4.936127523132029,-0.19337512329753842,-0.27130235451996043,-0.011970158828000276,-0.016700083291364735,0.009405913529607577,0.9997446430495976
646,189,0.26689515831653576,2.7553952373493704,-0.059270879056192605,0.7439926302316251,0.009261769468357132,-0.00843572133797169,-0.6680703738326161
3,273,1.0569981908192858,-3.299832222983241,4.65854323669646,0.9578838903380331,0.0007768709337658586,0.0066341243341898675,0.28707810347838386
189,273,4.910009361454286,0.023388691110767468,-1.4302422838154598,0.6819049135059464,-0.011747939237548313,-0.0035384908879995875,0.7313379204870716
273,458,-4.111480078747263,2.5761759219458327,0.39005754943900683,0.9881186666239683,-0.025889512678070613,0.05955490464704025,-0.1392998461414976
647,635,-3.9023867803625762,0.9143035489323665,-0.6298609907419177,0.998183923529319,-0.04767146810707496,-0.015917552359129013,-0.033210201189169876
179,192,1.6805592214379246,2.814719728328595,-1.5024807804965545,0.917482220452866,-0.024521011324523296,0.00548569571795978,0.396982370262196
191,635,-2.672809215979214,3.0423101932392456,-1.2332434284478495,0.9201060844416649,-0.0560376820275375,0.005863917215101013,-0.3875953896027441
459,635,-0.3515406393231615,4.53603087933152,-0.5248518754974612,0.8038820594972228,-0.04344131291994699,-0.0064186479269888715,-0.5931654808812497
648,461,-9.308282047772082,-8.38421157670382,-3.005471661714182,0.1046914006607451,0.9746460607097595,-0.03624643266848475,0.1943989791368465
191,274,-3.3223475444465294,0.9212291975709377,-0.7062529707436624,0.8855777575490436,-0.01390746120863917,0.012354914396710902,-0.464118491279315
649,178,-10.548058381536976,1.723410093293296,13.588302115021179,0.010428618441193705,0.0009295253905782213,0.9997696451541622,-0.018735968837422685
6,178,-1.988733711070381,-3.584027893957682,-3.576072528685472,0.999830563221696,0.005796941729348354,0.0031844715771102046,0.01717845904460523
7,178,7.437400756723946,-2.247344633564353,-0.23877936194185168,0.9998949714698531,-0.001634090389487194,-0.014385244366523869,0.0006637186270814846
177,274,-2.224506365135312,1.1378724748792592,2.3856926979351556,0.9787089985778392,-0.028805485823934836,0.060973188353744504,-0.19385873823789554
192,446,-8.510519872419536,-4.008131361333653,2.914736835635267,-0.22926587492075567,0.1335853050581529,0.9533558028259316,0.1438917582332776
275,462,-0.36826456166090793,2.4214458723872667,-0.19578772682575618,0.8472744999234647,0.013775548199596888,-0.014637912074352005,0.530774799308847
650,177,-5.4061984261497855,-0.6686914194724523,2.567345232022035,-0.14202579621814915,0.05940831021479528,0.9862595153383321,0.05992907717145303
8,193,-2.8002937575802207,4.221912928698401,-12.179824320814532,-0.36345697504521884,-0.13624407069266653,0.8711862324410411,-0.30061791180376346
177,463,-1.618926239742997,-3.843779229862145,-0.5903802196860846,0.6867191270069757,-0.0035839747804195785,0.019399217637133866,0.7266551218305817
275,633,4.015939495856666,-1.1741292513407764,1.3663759904579758,0.7868606533480141,-0.014148679112345233,0.034100615250433675,-0.6160253851357541
651,9,2.5032119574025273,-0.7456752648977272,-0.2465590504523334,0.9962131204542656,0.007157895413733226,0.0066776111025711096,-0.08639208689448186
9,176,-2.678336826618761,-2.331600056553725,-0.5974981306853806,0.19120325804076763,-0.012253758616838665,-0.04301225608183786,0.9805310323192767
176,276,2.349925531540066,-2.414641033279622,0.48481390460028706,0.9990335359892789,-0.00307799572007811,-0.0025100517900211766,0.04377464507128145
